MOF,ML,DFT
BASMIS02_FSR,0.9438530206680298,0.6211057901382446
JUXTIF_FSR,0.6953279972076416,0.7479871511459351
GOXBAY_FSR,3.5099380016326904,3.516430377960205
IQOZUJ_FSR,0.7961999773979187,0.933315634727478
OPIZUJ_FSR,1.9422030448913574,2.021972894668579
NULYAV_FSR,3.0400969982147217,3.257021427154541
MAQZUB01_FSR,0.9568880200386047,0.8241667747497559
CITBEO_FSR,0.8748599886894226,0.723467230796814
XEZXOQ_FSR,3.3081679344177246,3.3235039710998535
GEQTIH_FSR,3.287580966949463,3.2593374252319336
SOVKUK_FSR,1.8035379648208618,2.0701887607574463
MILBEO_FSR,2.627307891845703,2.5065929889678955
YOLZIK_FSR,3.0029289722442627,3.035416603088379
OFACIJ_FSR,2.5865650177001953,2.4396846294403076
PADLIQ01_FSR,0.8182349801063538,0.7785941362380981
BETGUF_FSR,0.49288201332092285,0.7890124320983887
APAYUM_FSR,2.2469089031219482,1.8118072748184204
IFAXAR_FSR,2.6338160037994385,2.658644199371338
QIMPOU_FSR,2.3056728839874268,2.3867738246917725
LISUCC01_FSR,4.722321033477783,4.656510353088379
SAXCUP_FSR,0.8444640040397644,0.8634321689605713
MOYKUH_FSR,3.0145680904388428,3.00604248046875
PEVZOG_FSR,0.3292030096054077,0.3197261095046997
FENSUN01_FSR,0.938821017742157,1.1931877136230469
SAQSAF03_FSR,1.521252989768982,1.6223628520965576
MOMMIM_FSR,3.2786550521850586,3.1596994400024414
LIGXEF_FSR,3.4389939308166504,3.5785908699035645
DORFOG_FSR,4.870128154754639,4.795538425445557
WELWIW_FSR,3.4094810485839844,3.268310546875
OPOHIL_FSR,1.4402960538864136,1.323342204093933
BOWQIO_FSR,2.2691280841827393,2.4496560096740723
LAMSOJ_FSR,3.0934150218963623,3.0880813598632812
TISBOO_FSR,2.604196071624756,2.3137261867523193
CEZBEQ_FSR,0.7306489944458008,0.7777109146118164
PCAUPY01_FSR,3.2050139904022217,3.0916590690612793
ITOZUO_FSR,0.995959997177124,0.8424664735794067
HEDNEL01_FSR,0.9183310270309448,0.9415851831436157
MUQZEE_FSR,3.3179750442504883,3.2584328651428223
CINNAP_FSR,2.7361950874328613,2.734877347946167
QOTZOP_FSR,5.022632122039795,4.987201690673828
LAMPAT_FSR,2.937822103500366,2.681300401687622
LEZSUH_FSR,2.5857760906219482,2.4984939098358154
VIYGIV_FSR,2.8992369174957275,2.849931478500366
HOZDEH_FSR,4.001152038574219,3.9895572662353516
ODOFOC_FSR,0.6744599938392639,0.6347475051879883
LUQCEG_FSR,2.7863850593566895,2.6555261611938477
WADPAT_FSR,1.5233010053634644,1.108615756034851
DEBTUA_FSR,2.4418599605560303,2.3616943359375
COKYUW_FSR,1.8681930303573608,1.8674317598342896
NIMWEN_FSR,2.9736380577087402,3.07712721824646
LUCZIS_FSR,0.18236400187015533,0.38007521629333496
SINKUX_FSR,0.38029900193214417,0.6371068954467773
CAQVEY_FSR,3.2205159664154053,3.2951509952545166
GADDEX_FSR,3.4585928916931152,3.3330349922180176
CUGFAN01_FSR,3.5389580726623535,3.6233720779418945
KUXWEH01_FSR,4.488490104675293,4.469225883483887
YEHBAQ_FSR,0.9290800094604492,1.015048861503601
YEVGAI_FSR,1.061961054801941,1.1331822872161865
XOHBED_FSR,3.0547659397125244,3.0389366149902344
IFACIC01_FSR,4.523636817932129,4.624946117401123
HIHNET_FSR,0.4241270124912262,0.5631836652755737
LAQJUI_FSR,3.2718279361724854,3.1705846786499023
QOZHEU01_FSR,1.0084960460662842,0.8018186092376709
IKEYEE_FSR,2.6734490394592285,2.772322654724121
FIKROI_FSR,2.368830919265747,2.137723207473755
YIZVEJ_FSR,2.797420024871826,2.6438546180725098
AWECUB01_FSR,2.4968230724334717,2.4997799396514893
POCPUT_FSR,3.6205079555511475,3.5421926975250244
DOQMAX_FSR,3.5161008834838867,3.532776117324829
XAKCOB_FSR,1.0319600105285645,1.1630892753601074
GELPUJ_FSR,0.5319139957427979,0.6225103139877319
YEMNUA_FSR,3.341826915740967,3.4796838760375977
LEZBUO_FSR,3.2512168884277344,3.078383445739746
EBUFAK_FSR,3.4367470741271973,3.572232246398926
IZEBUL01_FSR,3.8567569255828857,3.912738800048828
IZADUJ_FSR,2.013731002807617,1.9764902591705322
PICYIM_FSR,1.7395809888839722,1.7732166051864624
SOHBAU_FSR,2.770733118057251,2.787285804748535
CUHBIQ_FSR,1.8104619979858398,1.7452300786972046
WUDPUI_FSR,1.9797519445419312,1.978811264038086
DEJYOJ_FSR,2.924086093902588,2.905238151550293
QURDEN_FSR,2.23569393157959,2.1702964305877686
RERJAC_FSR,1.3290849924087524,1.3860230445861816
HIXYUK01_FSR,0.4944700002670288,0.5734329223632812
RAXVAP_FSR,0.8060439825057983,0.7082655429840088
GOXBIG_FSR,3.2110719680786133,3.237924575805664
JAGXEV_FSR,1.5838539600372314,1.2384275197982788
HAWSEG_FSR,0.9965559840202332,0.9555248022079468
JOCNOH_FSR,0.4996109902858734,0.6711421012878418
VISTUM_FSR,4.364687919616699,4.312800407409668
ORUGOZ_FSR,2.6467020511627197,2.3493757247924805
CIQCUD_FSR,3.4805610179901123,3.390238046646118
WEMJUU_FSR,3.865109920501709,3.906864881515503
UKELEB_FSR,1.3615959882736206,1.2894270420074463
KUYPAW_FSR,0.7506849765777588,0.6363294124603271
ONAMAT_FSR,1.0240739583969116,0.6594569683074951
FOFWII_FSR,1.1858570575714111,1.1803754568099976
AHEGIF_FSR,0.1072390004992485,0.4666883945465088
MOKTAI_FSR,3.186647891998291,3.027503252029419
CUYQIX_FSR,2.4267148971557617,2.5309391021728516
NEWQEN01_FSR,4.13339376449585,4.106240749359131
LMETZN_FSR,4.1512908935546875,4.058331489562988
XAYYUR02_FSR,5.33235502243042,5.238909721374512
NEWCAW_FSR,4.333996772766113,4.280814170837402
WUXCIC_FSR,2.7945609092712402,2.8426125049591064
GUDFIV_FSR,2.955298900604248,3.0700507164001465
XOJJEM_FSR,4.542006015777588,4.317150115966797
UDUGAD_FSR,0.4978249967098236,0.5768418312072754
GILBOV_FSR,2.6167728900909424,2.7510900497436523
BIHLUB_FSR,0.8946980237960815,0.8159120082855225
QOTDUZ_FSR,4.808203220367432,4.8346662521362305
DUHLIC_FSR,2.910304069519043,2.7864975929260254
OMETEH_FSR,1.9109450578689575,1.7491713762283325
KEHVAX_FSR,2.0611910820007324,2.232926607131958
PUWKUP_FSR,2.1298739910125732,1.7841622829437256
FAXGUH_FSR,1.3573640584945679,1.6216113567352295
GESDEP_FSR,0.9484949707984924,0.9542608261108398
LONVIV_FSR,0.11275699734687805,0.3032267093658447
QEFZOQ_FSR,3.820065975189209,3.7421908378601074
ROMWEX_FSR,3.744288921356201,3.7704696655273438
FIVCIX_FSR,1.1037969589233398,0.9182513952255249
EWUSIZ_FSR,4.573937892913818,4.554527282714844
TAPBOD_FSR,2.714586019515991,2.6333470344543457
INEFEO01_FSR,0.9505900144577026,0.8796259164810181
LURCUX_FSR,2.7808969020843506,2.509920597076416
LIKBOX_FSR,3.203433036804199,3.106250286102295
SACNUI_FSR,2.9275660514831543,2.9767143726348877
CUGROM_FSR,4.558071136474609,4.484427452087402
COTROU_FSR,3.0248630046844482,3.261800765991211
XIHQOV_FSR,2.0917680263519287,2.104383707046509
AFOHOT_FSR,2.6407809257507324,2.705331325531006
